date,year,area,average_price,houses_sold
1999-01-01,1999,barking and dagenham,64532,177.0
1999-01-01,1999,barnet,126189,417.0
1999-01-01,1999,bexley,83064,292.0
1999-01-01,1999,brent,105461,261.0
1999-01-01,1999,bromley,112544,406.0
1999-01-01,1999,camden,170961,208.0
1999-01-01,1999,croydon,91179,442.0
1999-01-01,1999,ealing,112914,371.0
1999-01-01,1999,enfield,94831,399.0
1999-01-01,1999,england,65766,59989.0
1999-01-01,1999,greenwich,86685,270.0
1999-01-01,1999,hackney,99489,196.0
1999-01-01,1999,hammersmith and fulham,178179,198.0
1999-01-01,1999,haringey,107523,229.0
1999-01-01,1999,harrow,118611,210.0
1999-01-01,1999,havering,89521,222.0
1999-01-01,1999,hillingdon,102147,335.0
1999-01-01,1999,hounslow,101234,241.0
1999-01-01,1999,islington,135270,220.0
1999-01-01,1999,kensington and chelsea,278269,292.0
1999-01-01,1999,kingston upon thames,119773,215.0
1999-01-01,1999,lambeth,106119,322.0
1999-01-01,1999,lewisham,77528,283.0
1999-01-01,1999,merton,109274,268.0
1999-01-01,1999,newham,69439,251.0
1999-01-01,1999,redbridge,96338,297.0
1999-01-01,1999,richmond upon thames,174889,302.0
1999-01-01,1999,southwark,100115,284.0
1999-01-01,1999,sutton,94888,276.0
1999-01-01,1999,tower hamlets,107464,273.0
1999-01-01,1999,waltham forest,78117,307.0
1999-01-01,1999,wandsworth,126280,452.0
1999-01-01,1999,westminster,188601,353.0
2002-01-01,2002,barking and dagenham,98713,216.0
2002-01-01,2002,barnet,203249,501.0
2002-01-01,2002,bexley,124283,319.0
2002-01-01,2002,brent,168671,315.0
2002-01-01,2002,bromley,173150,445.0
2002-01-01,2002,camden,290461,237.0
2002-01-01,2002,croydon,143108,455.0
2002-01-01,2002,ealing,178154,412.0
2002-01-01,2002,enfield,144678,440.0
2002-01-01,2002,england,96215,71678.0
2002-01-01,2002,greenwich,134327,282.0
2002-01-01,2002,hackney,165007,185.0
2002-01-01,2002,hammersmith and fulham,280576,227.0
2002-01-01,2002,haringey,173396,272.0
2002-01-01,2002,harrow,184582,246.0
2002-01-01,2002,havering,132721,260.0
2002-01-01,2002,hillingdon,156059,344.0
2002-01-01,2002,hounslow,163947,275.0
2002-01-01,2002,islington,226068,186.0
2002-01-01,2002,kensington and chelsea,407492,281.0
2002-01-01,2002,kingston upon thames,189539,280.0
2002-01-01,2002,lambeth,177905,340.0
2002-01-01,2002,lewisham,131763,428.0
2002-01-01,2002,merton,180271,280.0
2002-01-01,2002,newham,122669,369.0
2002-01-01,2002,redbridge,153608,348.0
2002-01-01,2002,richmond upon thames,251202,265.0
2002-01-01,2002,southwark,173721,309.0
2002-01-01,2002,sutton,149153,298.0
2002-01-01,2002,tower hamlets,170071,258.0
2002-01-01,2002,waltham forest,132999,330.0
2002-01-01,2002,wandsworth,211791,531.0
2002-01-01,2002,westminster,304679,373.0
2008-01-01,2008,barking and dagenham,194235,215.0
2008-01-01,2008,barnet,344480,354.0
2008-01-01,2008,bexley,220086,252.0
2008-01-01,2008,brent,300895,207.0
2008-01-01,2008,bromley,293098,337.0
2008-01-01,2008,camden,486659,217.0
2008-01-01,2008,croydon,248005,400.0
2008-01-01,2008,ealing,310173,336.0
2008-01-01,2008,enfield,256572,361.0
2008-01-01,2008,england,191750,56189.0
2008-01-01,2008,greenwich,238450,251.0
2008-01-01,2008,hackney,308203,178.0
2008-01-01,2008,hammersmith and fulham,487907,187.0
2008-01-01,2008,haringey,313986,204.0
2008-01-01,2008,harrow,305837,238.0
2008-01-01,2008,havering,244747,309.0
2008-01-01,2008,hillingdon,266873,309.0
2008-01-01,2008,hounslow,272960,215.0
2008-01-01,2008,islington,408031,205.0
2008-01-01,2008,kensington and chelsea,810781,186.0
2008-01-01,2008,kingston upon thames,321799,159.0
2008-01-01,2008,lambeth,307930,359.0
2008-01-01,2008,lewisham,241511,294.0
2008-01-01,2008,merton,309345,208.0
2008-01-01,2008,newham,236617,307.0
2008-01-01,2008,redbridge,275150,318.0
2008-01-01,2008,richmond upon thames,430126,254.0
2008-01-01,2008,southwark,303543,255.0
2008-01-01,2008,sutton,257529,232.0
2008-01-01,2008,tower hamlets,300654,272.0
2008-01-01,2008,waltham forest,249909,247.0
2008-01-01,2008,wandsworth,381421,370.0
2008-01-01,2008,westminster,546512,289.0
2014-01-01,2014,barking and dagenham,184884,127.0
2014-01-01,2014,barnet,398384,410.0
2014-01-01,2014,bexley,224321,316.0
2014-01-01,2014,brent,365190,232.0
2014-01-01,2014,bromley,315709,520.0
2014-01-01,2014,camden,695470,245.0
2014-01-01,2014,croydon,249311,455.0
2014-01-01,2014,ealing,364514,301.0
2014-01-01,2014,enfield,273452,326.0
2014-01-01,2014,england,188265,64587.0
2014-01-01,2014,greenwich,276452,341.0
2014-01-01,2014,hackney,415053,169.0
2014-01-01,2014,hammersmith and fulham,666572,289.0
2014-01-01,2014,haringey,402646,243.0
2014-01-01,2014,harrow,338590,233.0
2014-01-01,2014,havering,238220,324.0
2014-01-01,2014,hillingdon,282892,340.0
2014-01-01,2014,hounslow,302920,257.0
2014-01-01,2014,islington,548119,220.0
2014-01-01,2014,kensington and chelsea,1204771,280.0
2014-01-01,2014,kingston upon thames,369306,232.0
2014-01-01,2014,lambeth,395104,464.0
2014-01-01,2014,lewisham,289574,352.0
2014-01-01,2014,merton,377855,273.0
2014-01-01,2014,newham,234334,237.0
2014-01-01,2014,redbridge,289684,308.0
2014-01-01,2014,richmond upon thames,512942,296.0
2014-01-01,2014,southwark,396213,323.0
2014-01-01,2014,sutton,269434,277.0
2014-01-01,2014,tower hamlets,355235,430.0
2014-01-01,2014,waltham forest,279085,241.0
2014-01-01,2014,wandsworth,497300,576.0
2014-01-01,2014,westminster,855067,303.0
2019-01-01,2019,barking and dagenham,297181,119.0
2019-01-01,2019,barnet,528639,291.0
2019-01-01,2019,bexley,338708,215.0
2019-01-01,2019,brent,479106,126.0
2019-01-01,2019,bromley,440624,280.0
2019-01-01,2019,camden,867808,102.0
2019-01-01,2019,croydon,365096,271.0
2019-01-01,2019,ealing,483336,186.0
2019-01-01,2019,enfield,395616,202.0
2019-01-01,2019,england,244641,54134.0
2019-01-01,2019,greenwich,385703,273.0
2019-01-01,2019,hackney,527573,155.0
2019-01-01,2019,hammersmith and fulham,722045,110.0
2019-01-01,2019,haringey,545524,158.0
2019-01-01,2019,harrow,453365,169.0
2019-01-01,2019,havering,367019,224.0
2019-01-01,2019,hillingdon,413405,211.0
2019-01-01,2019,hounslow,397052,158.0
2019-01-01,2019,islington,635328,128.0
2019-01-01,2019,kensington and chelsea,1285331,117.0
2019-01-01,2019,kingston upon thames,482032,153.0
2019-01-01,2019,lambeth,501861,227.0
2019-01-01,2019,lewisham,402343,192.0
2019-01-01,2019,merton,512341,167.0
2019-01-01,2019,newham,358029,184.0
2019-01-01,2019,redbridge,420810,150.0
2019-01-01,2019,richmond upon thames,655056,162.0
2019-01-01,2019,southwark,500164,210.0
2019-01-01,2019,sutton,374145,185.0
2019-01-01,2019,tower hamlets,434143,236.0
2019-01-01,2019,waltham forest,435182,208.0
2019-01-01,2019,wandsworth,587609,304.0
2019-01-01,2019,westminster,959408,125.0
